step,time_s,episode_length,reward,done,success,object_target_dist_xy,object_x,object_y,object_z,target_x,target_y,target_z,robot_x,robot_y,robot_z,object_vx,object_vy,object_vz,action_raw_vx,action_raw_vy,action_raw_wz,velocity_cmd_vx,velocity_cmd_vy,velocity_cmd_wz
0,0.0,0,0.949734628200531,0,0,0.9676167964935303,11.800760269165039,-8.343719482421875,0.10000000149011612,11.07713794708252,-8.986100196838379,0.10000000149011612,12.344816207885742,-9.209607124328613,0.3499999940395355,0.0,0.0,0.0,-0.15796813368797302,1.888706922531128,-2.311568260192871,-0.15666715800762177,0.955260157585144,-0.9805471897125244
1,0.201,1,0.9793112874031067,0,0,0.9676477313041687,11.800774574279785,-8.34368896484375,0.09999842941761017,11.07713794708252,-8.986100196838379,0.10000000149011612,12.32461929321289,-9.262901306152344,0.3788963556289673,4.9503658374305815e-05,-2.7893096557818353e-05,-1.0465041668794584e-05,-0.2141425609588623,1.7907934188842773,-2.4101738929748535,-0.21092820167541504,0.9458442330360413,-0.9840010404586792
2,0.402,2,1.0054346323013306,0,0,0.9676477313041687,11.800774574279785,-8.34368896484375,0.09999842941761017,11.07713794708252,-8.986100196838379,0.10000000149011612,12.223533630371094,-9.300670623779297,0.4021300971508026,4.884218651568517e-05,-2.857231447705999e-05,-9.302105354436208e-06,-0.10177437216043472,1.7832581996917725,-2.4011783599853516,-0.1014244332909584,0.9450445175170898,-0.9837129712104797
3,0.6030000000000001,3,0.9992506504058838,0,0,0.9676477313041687,11.800774574279785,-8.34368896484375,0.09999843686819077,11.07713794708252,-8.986100196838379,0.10000000149011612,12.090238571166992,-9.318815231323242,0.37410157918930054,4.889915362582542e-05,-2.770282117126044e-05,-8.907602932595182e-06,-0.35964590311050415,1.8249378204345703,-2.334073543548584,-0.34490206837654114,0.9493284225463867,-0.9813953638076782
4,0.804,4,1.0140671730041504,0,0,0.9676477313041687,11.800774574279785,-8.34368896484375,0.09999841451644897,11.07713794708252,-8.986100196838379,0.10000000149011612,11.946020126342773,-9.32161808013916,0.380356103181839,4.8758683988125995e-05,-2.776693509076722e-05,-8.844433978083543e-06,-0.411577045917511,1.784462571144104,-2.2977442741394043,-0.3898108899593353,0.9451730847358704,-0.9800072908401489
5,1.005,5,1.012230396270752,0,0,0.9676477313041687,11.800774574279785,-8.34368896484375,0.09999843686819077,11.07713794708252,-8.986100196838379,0.10000000149011612,11.781086921691895,-9.311070442199707,0.3993189036846161,4.898890256299637e-05,-2.8429534722818062e-05,-9.682323252491187e-06,-0.6940099596977234,1.706774115562439,-2.2025132179260254,-0.6005518436431885,0.9362505674362183,-0.9758632779121399
6,1.2060000000000002,6,1.0128964185714722,0,0,0.9676477313041687,11.800774574279785,-8.34368896484375,0.09999839961528778,11.07713794708252,-8.986100196838379,0.10000000149011612,11.59592342376709,-9.269859313964844,0.39518168568611145,4.8929905460681766e-05,-2.8659844247158617e-05,-9.772533303475939e-06,-0.5797674655914307,1.5489531755447388,-2.142599582672119,-0.5224963426589966,0.9136126041412354,-0.9728323817253113
7,1.407,7,1.0139986276626587,0,0,0.9676477313041687,11.800774574279785,-8.34368896484375,0.09999839961528778,11.07713794708252,-8.986100196838379,0.10000000149011612,11.405448913574219,-9.205180168151855,0.3741160035133362,4.901623833575286e-05,-2.783497802738566e-05,-9.335919457953423e-06,-0.7606867551803589,1.4262096881866455,-2.032613754272461,-0.6414812803268433,0.8908872604370117,-0.9662607908248901
8,1.608,8,1.017589807510376,0,0,0.9676477313041687,11.800774574279785,-8.34368896484375,0.09999842941761017,11.07713794708252,-8.986100196838379,0.10000000149011612,11.242188453674316,-9.1122407913208,0.38111770153045654,4.8637321015121415e-05,-2.684284481802024e-05,-8.097235877357889e-06,-0.8106785416603088,1.2743974924087524,-1.9855811595916748,-0.6699644327163696,0.8549850583076477,-0.9629945755004883
9,1.809,9,0.9902381896972656,0,0,0.9676477313041687,11.800774574279785,-8.34368896484375,0.09999840706586838,11.07713794708252,-8.986100196838379,0.10000000149011612,11.081366539001465,-8.99246883392334,0.39396360516548157,4.918580816593021e-05,-2.7417094315751456e-05,-9.368704922962934e-06,-0.22606948018074036,1.129721999168396,-2.4144699573516846,-0.222295343875885,0.8109241127967834,-0.9841368198394775
10,2.01,10,0.984036386013031,0,0,0.9676477313041687,11.800774574279785,-8.34368896484375,0.09999841451644897,11.07713794708252,-8.986100196838379,0.10000000149011612,10.953340530395508,-8.850855827331543,0.38104918599128723,4.874110527453013e-05,-2.9509201340260915e-05,-1.0333744285162538e-05,-0.5086334347724915,0.5066561102867126,-2.0251855850219727,-0.4688797891139984,0.4673357307910919,-0.9657644033432007
11,2.2110000000000003,11,0.9913226366043091,0,0,0.9676477313041687,11.800774574279785,-8.34368896484375,0.09999842196702957,11.07713794708252,-8.986100196838379,0.10000000149011612,10.872773170471191,-8.697007179260254,0.3779996335506439,4.879485641140491e-05,-2.8545722670969553e-05,-9.524225788482e-06,-0.6422405242919922,0.7930067777633667,-2.2130117416381836,-0.5664231777191162,0.6601089835166931,-0.9763588905334473
12,2.4120000000000004,12,0.9999877214431763,0,0,0.9676477313041687,11.800774574279785,-8.34368896484375,0.09999841451644897,11.07713794708252,-8.986100196838379,0.10000000149011612,10.807973861694336,-8.544454574584961,0.3854702413082123,4.8876307118916884e-05,-2.9041431844234467e-05,-1.3315863725438248e-05,-0.6521167755126953,0.7082898616790771,-2.162088394165039,-0.5730932354927063,0.6096034049987793,-0.9738573431968689
13,2.613,13,0.9993846416473389,0,0,0.9676477313041687,11.800774574279785,-8.34368896484375,0.09999842196702957,11.07713794708252,-8.986100196838379,0.10000000149011612,10.753813743591309,-8.403365135192871,0.39098790287971497,4.9202928494196385e-05,-2.7631422199192457e-05,-9.410653547092807e-06,-0.7931506633758545,0.6146042346954346,-2.167285203933716,-0.6601901650428772,0.5473599433898926,-0.9741241335868835
14,2.814,14,0.9940779209136963,0,0,0.9676477313041687,11.800774574279785,-8.34368896484375,0.09999842941761017,11.07713794708252,-8.986100196838379,0.10000000149011612,10.723610877990723,-8.244114875793457,0.39670538902282715,4.8951136704999954e-05,-2.844164009729866e-05,-9.552640221954789e-06,-0.7548794746398926,0.7006011605262756,-2.1775598526000977,-0.6380509734153748,0.6047492027282715,-0.9746437668800354
15,3.0149999999999997,15,0.992509126663208,0,0,0.9676477313041687,11.800774574279785,-8.34368896484375,0.09999842196702957,11.07713794708252,-8.986100196838379,0.10000000149011612,10.719620704650879,-8.081757545471191,0.3850873112678528,4.950547372573055e-05,-2.7761454475694336e-05,-9.959927410818636e-06,-0.8312556743621826,0.654024064540863,-2.1442244052886963,-0.6811497211456299,0.5743727684020996,-0.9729193449020386
16,3.216,16,0.9927830696105957,0,0,0.9676477313041687,11.800774574279785,-8.34368896484375,0.09999841451644897,11.07713794708252,-8.986100196838379,0.10000000149011612,10.736617088317871,-7.9314703941345215,0.3846803605556488,4.90013298986014e-05,-2.9290953534655273e-05,-1.0466736057423986e-05,-0.9285052418708801,0.621946394443512,-2.161182165145874,-0.7298962473869324,0.5524817705154419,-0.9738105535507202
17,3.4170000000000003,17,0.9844403862953186,0,0,0.9676477313041687,11.800774574279785,-8.34368896484375,0.09999843686819077,11.07713794708252,-8.986100196838379,0.10000000149011612,10.778946876525879,-7.777110576629639,0.39466404914855957,4.885624730377458e-05,-2.7922218578169122e-05,-9.186374882119708e-06,-0.765031635761261,0.6375644207000732,-2.1633224487304688,-0.6440311670303345,0.5632389187812805,-0.9739209413528442
